Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-03-13,SHIVAMILLS,EQ,64.5,64.4,65.9,60.0,61.0,61.2,61.68,13958,86092020000.0,95,9007,0.6453
2018-03-14,SHIVAMILLS,EQ,61.2,60.0,62.55,59.1,62.0,62.5,61.53,7950,48913850000.0,67,6482,0.8153
2018-03-15,SHIVAMILLS,EQ,62.5,60.0,64.85,59.0,61.35,62.2,61.19,9436,57743190000.0,81,4388,0.465
2018-03-16,SHIVAMILLS,EQ,62.2,59.6,62.1,57.1,60.2,61.15,60.38,3129,18894280000.0,81,2176,0.6954000000000001
2018-03-19,SHIVAMILLS,EQ,61.15,60.1,60.1,54.8,56.5,55.4,56.39,4676,26369134999.999996,71,4275,0.9142
2018-03-20,SHIVAMILLS,EQ,55.4,56.5,56.95,51.95,54.5,53.15,53.23,5069,26982025000.0,60,4097,0.8081999999999999
2018-03-21,SHIVAMILLS,EQ,53.15,54.5,54.5,50.1,50.5,50.8,52.1,3716,19361650000.0,103,2518,0.6776000000000001
2018-03-22,SHIVAMILLS,EQ,50.8,51.0,51.0,48.0,49.0,49.1,48.92,3925,19202940000.0,46,3600,0.9172
2018-03-23,SHIVAMILLS,EQ,49.1,45.55,49.3,45.05,49.3,48.8,48.1,3030,14575804999.999998,44,1330,0.4389
2018-03-26,SHIVAMILLS,EQ,48.8,47.0,50.0,43.75,47.0,46.85,46.11,6531,30116300000.0,52,6186,0.9472
2018-03-27,SHIVAMILLS,EQ,46.85,47.5,51.8,47.5,48.0,48.0,48.31,491,2372150000.0,17,429,0.8737
2018-03-28,SHIVAMILLS,EQ,48.0,53.0,56.9,48.15,56.5,53.4,53.25,14749,78535745000.0,175,6745,0.4573
2018-04-02,SHIVAMILLS,EQ,53.4,58.5,63.45,53.4,59.35,60.35,59.67,10161,60626419999.99999,248,2369,0.2331
2018-04-03,SHIVAMILLS,EQ,60.35,64.9,72.4,60.0,72.0,71.05,69.86,45341,316774055000.0,474,24079,0.5311
2018-04-04,SHIVAMILLS,EQ,71.05,72.0,74.9,63.95,63.95,63.95,67.34,29621,199455015000.0,329,13816,0.46640000000000004
2018-04-05,SHIVAMILLS,EQ,63.95,64.0,66.45,58.65,62.5,63.95,62.95,12663,79707970000.0,262,6451,0.5094
2018-04-06,SHIVAMILLS,EQ,63.95,65.9,65.9,61.1,63.35,62.9,62.54,2890,18072660000.0,97,1800,0.6228
2018-04-09,SHIVAMILLS,EQ,62.9,63.9,67.8,62.45,65.7,64.95,64.89,4360,28290825000.0,101,3337,0.7654000000000001
2018-04-10,SHIVAMILLS,EQ,64.95,65.85,66.0,62.05,62.25,62.3,63.12,6501,41037400000.0,120,4495,0.6914
2018-04-11,SHIVAMILLS,EQ,62.3,64.0,64.0,61.0,61.0,62.05,62.51,1488,9301860000.0,48,1239,0.8327
2018-04-12,SHIVAMILLS,EQ,62.05,62.0,62.0,57.0,58.0,58.0,58.92,4703,27709950000.0,72,3592,0.7637999999999999
