Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-01-30,BHANDARI,EQ,2.45,2.65,2.9,2.6,2.9,2.9,2.83,521867,147647195000.0,277,359772,0.6894
2017-01-31,BHANDARI,EQ,2.9,3.15,3.15,3.1,3.15,3.15,3.15,746260,234891104999.99997,275,445430,0.5969
2017-02-01,BHANDARI,EQ,3.15,3.45,3.45,3.15,3.45,3.45,3.42,971463,332473820000.0,328,623778,0.6421
2017-02-02,BHANDARI,EQ,3.45,3.75,3.75,3.65,3.75,3.75,3.74,620258,232055185000.0,393,390595,0.6297
2017-02-03,BHANDARI,EQ,3.75,3.9,3.9,3.6,3.6,3.65,3.67,957875,351697275000.0,502,737707,0.7701000000000001
2017-02-06,BHANDARI,EQ,3.65,3.55,3.55,3.5,3.5,3.5,3.5,81062,28382200000.0,75,81061,1.0
2017-02-07,BHANDARI,EQ,3.5,3.35,3.35,3.35,3.35,3.35,3.35,54799,18357665000.0,59,54799,1.0
2017-02-08,BHANDARI,EQ,3.35,3.2,3.2,3.2,3.2,3.2,3.2,91380,29241600000.0,57,90378,0.9890000000000001
2017-02-09,BHANDARI,EQ,3.2,3.05,3.35,3.05,3.35,3.35,3.27,1346570,440169015000.00006,862,369145,0.2741
2017-02-10,BHANDARI,EQ,3.35,3.5,3.5,3.2,3.2,3.2,3.27,960140,314130125000.0,517,344400,0.35869999999999996
2017-02-13,BHANDARI,EQ,3.2,3.05,3.1,3.05,3.05,3.05,3.05,183278,55900830000.00001,112,158957,0.8673000000000001
2017-02-14,BHANDARI,EQ,3.05,2.9,3.2,2.9,3.1,3.05,3.01,437407,131790360000.00002,326,289394,0.6616
2017-02-15,BHANDARI,EQ,3.05,2.95,3.15,2.9,3.1,3.05,3.01,180058,54204469999.99999,162,120377,0.6685
2017-02-16,BHANDARI,EQ,3.05,2.9,3.1,2.9,3.1,3.05,3.01,88402,26587330000.0,121,47010,0.5318
2017-02-17,BHANDARI,EQ,3.05,3.1,3.2,3.0,3.2,3.1,3.12,171898,53715769999.99999,161,123834,0.7204
2017-02-20,BHANDARI,EQ,3.1,3.1,3.15,3.0,3.1,3.05,3.03,104051,31528070000.0,92,97590,0.9379000000000001
2017-02-21,BHANDARI,EQ,3.05,2.95,3.2,2.95,3.2,3.2,3.17,151262,48022895000.0,103,105668,0.6986
2017-02-22,BHANDARI,EQ,3.2,3.15,3.2,3.05,3.05,3.05,3.07,199201,61199275000.0,113,155630,0.7813
2017-02-23,BHANDARI,EQ,3.05,3.0,3.15,2.9,3.1,3.1,2.94,372828,109634430000.0,242,277840,0.7452
2017-02-27,BHANDARI,EQ,3.1,3.0,3.0,2.95,2.95,2.95,2.95,76445,22576675000.0,93,68365,0.8943000000000001
2017-02-28,BHANDARI,EQ,2.95,2.85,3.05,2.85,3.0,2.9,2.95,81224,23922170000.0,128,68081,0.8382
2017-03-01,BHANDARI,EQ,2.9,2.9,3.0,2.85,3.0,3.0,2.93,204344,59873919999.99999,118,133123,0.6515000000000001
2017-03-02,BHANDARI,EQ,3.0,2.95,3.0,2.9,2.9,2.9,2.92,87182,25425455000.0,88,70869,0.8129000000000001
