Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-08-11,COCHINSHIP,EQ,432.0,440.15,528.15,435.0,528.15,528.15,508.26,27617037,1403659481145000.0,348906,14315806,0.5184000000000001
2017-08-14,COCHINSHIP,EQ,528.15,572.0,575.0,529.65,543.4,542.3,546.66,9601359,524869443975000.0,173670,2905532,0.30260000000000004
2017-08-16,COCHINSHIP,EQ,542.3,537.55,548.0,529.0,533.5,536.2,536.64,3241033,173927832700000.0,59019,926996,0.28600000000000003
2017-08-17,COCHINSHIP,EQ,536.2,534.8,546.95,532.2,538.9,537.55,539.27,2165189,116762988445000.0,42139,753981,0.3482
2017-08-18,COCHINSHIP,EQ,537.55,535.0,537.4,518.0,532.05,534.45,528.2,2393064,126400874990000.02,47991,1066124,0.4455
2017-08-21,COCHINSHIP,EQ,534.45,536.65,539.7,520.85,523.95,524.25,529.42,1110529,58793969400000.0,25316,594252,0.5351
2017-08-22,COCHINSHIP,EQ,524.25,528.0,530.0,500.0,512.55,512.5,511.29,1519839,77708342750000.0,36680,714025,0.4698
2017-08-23,COCHINSHIP,EQ,512.5,513.55,517.9,505.05,508.1,508.6,509.82,966549,49276686870000.0,23892,455197,0.47100000000000003
2017-08-24,COCHINSHIP,EQ,508.6,510.0,527.5,507.5,513.0,513.2,519.37,1651118,85754703765000.0,37655,421818,0.2555
2017-08-28,COCHINSHIP,EQ,513.2,515.0,521.0,508.9,509.5,510.1,514.4,536389,27591800795000.0,17181,267742,0.49920000000000003
2017-08-29,COCHINSHIP,EQ,510.1,508.0,517.0,503.0,503.5,504.25,509.24,814510,41478149475000.0,17799,355927,0.43700000000000006
2017-08-30,COCHINSHIP,EQ,504.25,506.5,516.9,506.5,515.0,514.85,513.09,851036,43666105135000.0,20943,461486,0.5423
2017-08-31,COCHINSHIP,EQ,514.85,516.5,520.9,508.2,512.5,513.45,516.2,672046,34690986245000.0,23676,346735,0.5159
2017-09-01,COCHINSHIP,EQ,513.45,515.0,538.85,512.0,533.0,531.6,528.17,2014321,106390034840000.0,35564,667158,0.3312
2017-09-04,COCHINSHIP,EQ,531.6,529.0,545.5,525.0,535.0,536.6,535.68,1526587,81776499355000.0,35885,519970,0.3406
2017-09-05,COCHINSHIP,EQ,536.6,539.0,543.8,533.5,539.5,539.2,538.81,644963,34751027539999.996,13360,195449,0.303
2017-09-06,COCHINSHIP,EQ,539.2,536.9,545.0,531.0,531.3,532.8,538.16,738552,39745555695000.0,14412,251631,0.3407
2017-09-07,COCHINSHIP,EQ,532.8,534.0,537.45,530.0,532.45,532.9,533.25,399361,21295962960000.0,8824,216338,0.5417000000000001
2017-09-08,COCHINSHIP,EQ,532.9,534.6,561.1,531.05,546.0,548.9,548.21,2603570,142730111970000.0,48531,816295,0.3135
2017-09-11,COCHINSHIP,EQ,548.9,551.75,572.95,544.0,561.85,562.2,561.06,2517536,141248015020000.0,44412,789200,0.3135
2017-09-12,COCHINSHIP,EQ,562.2,578.75,579.8,556.05,558.3,558.6,564.98,1847950,104406265545000.0,33623,694711,0.37590000000000007
2017-09-13,COCHINSHIP,EQ,558.6,558.45,558.45,542.2,542.85,544.0,549.74,673944,37049611460000.0,13735,313957,0.46590000000000004
2017-09-14,COCHINSHIP,EQ,544.0,545.45,549.85,540.55,541.7,542.25,545.45,473625,25833809150000.0,12098,208270,0.4397
2017-09-15,COCHINSHIP,EQ,542.25,540.0,559.0,537.0,547.6,547.4,549.2,937862,51507452355000.0,18722,333457,0.3556
2017-09-18,COCHINSHIP,EQ,547.4,551.9,560.95,549.0,554.5,554.1,554.7,815587,45240787650000.0,23452,395518,0.48490000000000005
2017-09-19,COCHINSHIP,EQ,554.1,554.9,556.0,544.35,545.0,545.25,549.52,296005,16266193530000.002,6178,180667,0.6104
2017-09-20,COCHINSHIP,EQ,545.25,546.0,554.85,545.0,545.2,545.55,549.01,348093,19110740750000.0,6903,153187,0.4401
2017-09-21,COCHINSHIP,EQ,545.55,546.95,550.0,534.0,540.7,540.35,540.3,394432,21311006125000.0,8524,236616,0.5999
2017-09-22,COCHINSHIP,EQ,540.35,539.1,539.1,528.55,533.5,532.85,532.06,491830,26168260980000.0,8757,335585,0.6823
2017-09-25,COCHINSHIP,EQ,532.85,532.85,533.5,511.0,525.0,525.15,521.52,473975,24718594060000.0,9367,282644,0.5963
2017-09-26,COCHINSHIP,EQ,525.15,525.0,534.5,520.5,527.95,527.55,527.47,206712,10903518190000.0,4510,101379,0.4904
2017-09-27,COCHINSHIP,EQ,527.55,530.0,531.55,521.0,528.0,526.0,526.32,806257,42435144320000.0,6666,700254,0.8684999999999999
2017-09-28,COCHINSHIP,EQ,526.0,528.0,528.0,517.4,520.0,520.6,520.74,294176,15318902640000.0,5367,177739,0.6042000000000001
2017-09-29,COCHINSHIP,EQ,520.6,523.9,531.6,518.15,520.0,520.0,525.52,287835,15126387185000.0,5198,172181,0.5982000000000001
2017-10-03,COCHINSHIP,EQ,520.0,526.0,528.0,519.25,520.0,520.1,522.26,246104,12852904670000.0,5211,159079,0.6464
2017-10-04,COCHINSHIP,EQ,520.1,522.0,528.9,519.2,521.0,520.1,521.47,773387,40329527280000.0,10387,531213,0.6869
2017-10-05,COCHINSHIP,EQ,520.1,521.7,526.0,517.85,518.5,518.55,521.6,298381,15563633860000.0,4407,195432,0.655
2017-10-06,COCHINSHIP,EQ,518.55,520.6,524.65,518.0,518.85,518.7,520.77,267352,13922989140000.0,5351,141008,0.5274
2017-10-09,COCHINSHIP,EQ,518.7,520.0,524.85,515.0,515.85,516.1,519.96,299036,15548754069999.998,4856,182474,0.6102000000000001
2017-10-10,COCHINSHIP,EQ,516.1,517.95,586.2,517.0,571.55,572.25,563.11,6646750,374282381460000.0,88095,1361900,0.2049
2017-10-11,COCHINSHIP,EQ,572.25,580.0,592.0,553.7,562.3,563.45,577.73,4682384,270515976680000.03,75421,1103458,0.23570000000000002
2017-10-12,COCHINSHIP,EQ,563.45,566.9,574.7,563.4,567.3,567.85,568.68,925375,52624202710000.0,17179,294690,0.3185
2017-10-13,COCHINSHIP,EQ,567.85,570.9,582.8,562.05,571.9,573.05,573.58,1247933,71579452065000.0,20276,373231,0.29910000000000003
2017-10-16,COCHINSHIP,EQ,573.05,576.8,577.7,565.0,569.45,569.45,570.41,497121,28356382620000.0,10569,210822,0.4241
2017-10-17,COCHINSHIP,EQ,569.45,569.9,576.35,563.0,567.5,567.9,569.96,581641,33151388389999.996,11822,219032,0.3766
2017-10-18,COCHINSHIP,EQ,567.9,568.4,575.9,560.05,566.85,567.2,567.85,480600,27290899389999.996,8559,143193,0.2979
2017-10-19,COCHINSHIP,EQ,567.2,568.0,572.35,566.0,566.8,568.3,569.41,225773,12855682280000.0,5832,129026,0.5715
2017-10-23,COCHINSHIP,EQ,568.3,569.0,575.0,566.0,570.15,570.2,569.89,374789,21358983690000.0,8469,168705,0.4501
2017-10-24,COCHINSHIP,EQ,570.2,573.0,583.9,570.7,577.4,578.6,578.92,1072743,62102847190000.0,17535,598779,0.5582
2017-10-25,COCHINSHIP,EQ,578.6,582.9,586.0,569.3,572.0,570.95,576.11,331812,19116131660000.0,7902,175613,0.5293
2017-10-26,COCHINSHIP,EQ,570.95,572.4,574.15,566.1,566.3,567.15,569.02,282935,16099699230000.002,6630,159078,0.5622
2017-10-27,COCHINSHIP,EQ,567.15,569.8,583.0,565.25,571.0,571.3,575.05,558697,32127687639999.996,11652,214829,0.38450000000000006
2017-10-30,COCHINSHIP,EQ,571.3,572.0,580.0,570.4,574.35,575.3,574.29,367015,21077148815000.0,5741,232402,0.6332
2017-10-31,COCHINSHIP,EQ,575.3,578.0,597.8,573.05,579.75,579.7,585.92,1198217,70205798479999.99,22013,361918,0.302
2017-11-01,COCHINSHIP,EQ,579.7,582.0,587.0,575.5,578.15,578.3,581.59,348144,20247581520000.0,10889,177390,0.5095000000000001
2017-11-02,COCHINSHIP,EQ,578.3,579.5,584.0,574.0,575.5,576.05,578.92,274241,15876474955000.002,7479,135408,0.4938
2017-11-03,COCHINSHIP,EQ,576.05,577.7,580.0,574.0,576.0,575.0,576.76,201896,11644469500000.0,6405,89321,0.4424
2017-11-06,COCHINSHIP,EQ,575.0,574.45,579.8,571.0,571.55,572.8,575.02,212878,12240826325000.0,7703,109624,0.515
2017-11-07,COCHINSHIP,EQ,572.8,576.5,576.5,563.1,567.95,567.45,568.7,376771,21426833765000.0,12437,227056,0.6026
2017-11-08,COCHINSHIP,EQ,567.45,565.0,572.0,562.9,564.2,565.75,566.38,406024,22996345545000.0,9343,239039,0.5887
2017-11-09,COCHINSHIP,EQ,565.75,565.15,570.7,562.1,562.8,563.1,566.31,320272,18137275485000.0,8264,201525,0.6292
2017-11-10,COCHINSHIP,EQ,563.1,563.2,569.4,561.4,562.0,563.45,565.88,256802,14532004940000.0,7149,150920,0.5877
2017-11-13,COCHINSHIP,EQ,563.45,560.0,560.0,546.0,547.0,549.65,551.06,358622,19762293345000.0,12310,219077,0.6109
2017-11-14,COCHINSHIP,EQ,549.65,549.7,555.0,545.65,551.1,551.4,551.46,180115,9932701935000.0,7134,86938,0.4827
2017-11-15,COCHINSHIP,EQ,551.4,553.95,553.95,541.0,541.15,541.85,547.5,166221,9100533005000.0,11910,113544,0.6831
2017-11-16,COCHINSHIP,EQ,541.85,545.85,548.8,542.0,543.5,544.35,545.44,117416,6404331875000.0,5973,60923,0.5189
2017-11-17,COCHINSHIP,EQ,544.35,546.8,563.0,546.8,556.0,554.25,556.14,275856,15341360210000.0,7111,129197,0.4683
2017-11-20,COCHINSHIP,EQ,554.25,560.0,579.2,558.0,577.75,575.05,572.16,683527,39108608375000.0,19937,361109,0.5283
