Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-25,SAGARDEEP,EQ,95.4,95.4,99.9,91.95,95.4,94.9,95.77,163328,1564208065000.0,1289,57374,0.35130000000000006
2019-01-28,SAGARDEEP,EQ,94.9,98.0,99.6,90.2,90.2,94.0,95.74,63697,609855040000.0,459,34737,0.5453
2019-01-29,SAGARDEEP,EQ,94.0,96.5,96.5,89.3,89.3,92.25,93.23,42593,397093550000.0,461,20247,0.4754
2019-01-30,SAGARDEEP,EQ,92.25,92.3,96.85,90.6,93.75,93.35,94.19,60659,571340780000.0,320,32536,0.5364
2019-01-31,SAGARDEEP,EQ,93.35,93.0,95.5,88.7,88.7,91.5,93.7,56462,529075859999.99994,450,37469,0.6636
2019-02-01,SAGARDEEP,EQ,91.5,88.0,95.0,86.95,94.85,94.15,91.28,95007,867212994999.9999,600,52964,0.5575
2019-02-04,SAGARDEEP,EQ,94.15,94.3,94.95,89.45,89.5,92.05,92.03,151514,1394343365000.0,1263,64313,0.42450000000000004
2019-02-05,SAGARDEEP,EQ,92.05,87.6,95.0,87.6,95.0,94.95,93.8,87347,819292295000.0,644,47684,0.5459
2019-02-06,SAGARDEEP,EQ,94.95,98.95,98.95,90.5,92.0,97.2,96.83,101542,983243450000.0,439,48619,0.47880000000000006
2019-02-07,SAGARDEEP,EQ,97.2,97.35,98.0,92.25,96.0,96.9,97.25,95731,930993425000.0,1010,43384,0.4532
2019-02-08,SAGARDEEP,EQ,96.9,97.0,101.25,94.05,101.2,98.35,97.63,87142,850774060000.0,640,45434,0.5214
2019-02-11,SAGARDEEP,EQ,98.35,100.05,100.05,92.7,95.75,97.4,98.09,79878,783559045000.0,1028,23319,0.2919
2019-02-12,SAGARDEEP,EQ,97.4,100.75,105.0,95.55,102.0,103.8,99.83,328460,3279163930000.0,1793,220006,0.6698000000000001
2019-02-13,SAGARDEEP,EQ,103.8,103.5,106.0,102.6,104.7,104.5,104.45,49671,518790525000.0,679,20609,0.41490000000000005
2019-02-14,SAGARDEEP,EQ,104.5,104.5,105.7,98.0,100.0,102.05,103.86,157076,1631435225000.0,600,116661,0.7427
2019-02-15,SAGARDEEP,EQ,102.05,102.55,111.0,97.25,98.0,99.1,101.48,68822,698398475000.0,854,31953,0.4643
2019-02-18,SAGARDEEP,EQ,99.1,105.0,105.0,99.85,101.0,101.75,101.6,190618,1936673245000.0,1027,125491,0.6583
2019-02-19,SAGARDEEP,EQ,101.75,107.4,107.4,93.0,98.0,97.7,99.67,19174,191104475000.0,519,14435,0.7528
2019-02-20,SAGARDEEP,EQ,97.7,100.8,101.05,97.5,97.5,97.75,99.76,22103,220493735000.0,200,21097,0.9545
2019-02-21,SAGARDEEP,EQ,97.75,101.0,101.0,93.25,93.25,96.7,96.56,114165,1102394435000.0,1158,54017,0.4731
2019-02-22,SAGARDEEP,EQ,96.7,90.55,97.45,90.55,91.4,91.25,93.5,26610,248815629999.99997,604,13156,0.4944
2019-02-25,SAGARDEEP,EQ,91.25,93.7,94.7,85.5,89.5,89.2,89.29,37104,331314655000.0,1025,24251,0.6536
2019-02-26,SAGARDEEP,EQ,89.2,95.25,95.25,84.35,85.0,93.45,91.55,316120,2894230350000.0,4553,83005,0.2626
2019-02-27,SAGARDEEP,EQ,93.45,86.6,93.75,86.6,90.0,91.9,90.3,168032,1517411545000.0,2163,31521,0.18760000000000002
2019-02-28,SAGARDEEP,EQ,91.9,91.35,93.55,86.4,90.0,91.35,91.9,264438,2430116675000.0,1842,87935,0.3325
2019-03-01,SAGARDEEP,EQ,91.35,91.0,95.95,87.0,87.0,92.05,92.38,258594,2388836360000.0,2487,62887,0.2432
2019-03-05,SAGARDEEP,EQ,92.05,91.0,91.0,83.2,83.2,85.0,89.91,221965,1995649555000.0,1183,88651,0.3994
2019-03-06,SAGARDEEP,EQ,85.0,83.55,87.1,81.0,81.55,84.35,85.03,104117,885309094999.9999,636,52332,0.5025999999999999
2019-03-07,SAGARDEEP,EQ,84.35,84.05,88.0,83.45,85.6,85.65,85.39,222445,1899409755000.0,1562,89192,0.401
2019-03-08,SAGARDEEP,EQ,85.65,85.8,86.95,83.05,84.5,85.25,86.16,105749,911089875000.0,645,37452,0.3542
2019-03-11,SAGARDEEP,EQ,85.25,85.75,86.5,83.25,84.7,84.6,85.23,32999,281239930000.0,140,13066,0.396
2019-03-12,SAGARDEEP,EQ,84.6,84.5,84.5,80.0,80.0,83.05,83.17,51964,432167845000.0,227,23977,0.46140000000000003
2019-03-13,SAGARDEEP,EQ,83.05,82.6,85.0,81.2,83.9,82.6,82.97,54187,449565459999.99994,232,29376,0.5421
2019-03-14,SAGARDEEP,EQ,82.6,81.4,83.0,80.15,80.4,82.3,82.55,41047,338847070000.0,228,15994,0.3897
2019-03-15,SAGARDEEP,EQ,82.3,82.1,82.3,74.1,74.1,77.75,80.44,148436,1194084380000.0,514,97601,0.6575
2019-03-18,SAGARDEEP,EQ,77.75,74.85,77.85,72.0,72.15,72.6,73.59,205750,1514091355000.0,1439,96921,0.4711
2019-03-19,SAGARDEEP,EQ,72.6,72.7,73.45,72.5,72.9,72.55,72.74,44070,320571055000.0,419,29188,0.6623
2019-03-20,SAGARDEEP,EQ,72.55,73.45,76.45,72.6,75.0,75.65,73.63,78888,580834450000.0,876,36708,0.46530000000000005
2019-03-22,SAGARDEEP,EQ,75.65,77.45,77.8,68.1,68.1,69.5,73.85,203459,1502490665000.0,556,137314,0.6748999999999999
2019-03-25,SAGARDEEP,EQ,69.5,70.2,73.4,62.55,62.55,62.55,64.89,184185,1195142550000.0,788,145081,0.7877
2019-03-26,SAGARDEEP,EQ,62.55,59.45,63.3,59.45,59.45,59.45,59.57,146646,873506080000.0001,349,128988,0.8795999999999999
2019-03-27,SAGARDEEP,EQ,59.45,56.5,56.5,56.5,56.5,56.5,56.5,5163,29170950000.0,25,5163,1.0
2019-03-28,SAGARDEEP,EQ,56.5,53.7,58.9,53.7,57.95,58.35,54.83,118554,650053230000.0,402,69109,0.5829
2019-03-29,SAGARDEEP,EQ,58.35,61.0,61.25,55.45,61.05,59.9,58.0,100292,581740825000.0,633,38315,0.38200000000000006
2019-04-01,SAGARDEEP,EQ,59.9,61.45,61.5,57.5,60.0,61.4,60.74,4926,29918480000.0,200,1758,0.3569
