Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-03-08,AGROPHOS,EQ,56.75,68.0,68.0,55.0,57.2,58.7,58.41,56523,330153955000.0,179,47300,0.8368000000000001
2019-03-11,AGROPHOS,EQ,58.7,61.7,61.75,58.05,59.0,60.1,59.98,7481,44874055000.0,74,6460,0.8634999999999999
2019-03-12,AGROPHOS,EQ,60.1,57.25,61.0,55.85,60.0,59.7,58.68,113277,664736740000.0,155,78507,0.6931
2019-03-13,AGROPHOS,EQ,59.7,61.0,63.3,58.2,61.05,61.85,60.97,210300,1282232745000.0,448,175281,0.8334999999999999
2019-03-14,AGROPHOS,EQ,61.85,61.05,66.5,60.0,66.5,65.0,61.76,250566,1547598315000.0,360,149412,0.5963
2019-03-15,AGROPHOS,EQ,65.0,74.8,74.8,64.3,66.5,66.95,67.69,123938,838912000000.0,272,84289,0.6801
2019-03-18,AGROPHOS,EQ,66.95,69.9,72.5,66.0,70.0,69.95,70.38,418257,2943838970000.0,493,330188,0.7894
2019-03-19,AGROPHOS,EQ,69.95,72.9,74.0,67.1,73.0,72.5,72.91,496666,3621311525000.0,558,324007,0.6524
2019-03-20,AGROPHOS,EQ,72.5,74.2,74.9,72.65,74.45,74.35,74.18,403463,2992893375000.0,492,214232,0.531
2019-03-22,AGROPHOS,EQ,74.35,74.4,75.2,72.0,75.0,74.9,73.56,86752,638161075000.0,264,67341,0.7762000000000001
2019-03-25,AGROPHOS,EQ,74.9,75.1,79.95,72.8,76.0,77.0,77.43,556975,4312844570000.0005,625,367559,0.6598999999999999
2019-03-26,AGROPHOS,EQ,77.0,78.6,79.95,71.05,77.9,77.85,77.52,501601,3888475804999.9995,675,262958,0.5242
2019-03-27,AGROPHOS,EQ,77.85,78.6,78.6,72.05,72.05,74.0,76.41,426490,3258887760000.0,583,275514,0.6459999999999999
2019-03-28,AGROPHOS,EQ,74.0,74.9,74.95,71.0,72.45,71.9,72.59,240162,1743237230000.0,218,235819,0.9819
2019-03-29,AGROPHOS,EQ,71.9,74.0,74.0,68.1,71.7,70.2,70.54,48775,344054690000.0,90,41557,0.8520000000000001
