Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-09-01,SMSLIFE,EQ,208.85,229.7,229.7,229.7,229.7,229.7,229.7,1164,26737080000.0,29,1164,1.0
2017-09-04,SMSLIFE,EQ,229.7,252.65,252.65,252.65,252.65,252.65,252.65,295,7453175000.0,29,292,0.9898
2017-09-05,SMSLIFE,EQ,252.65,277.9,277.9,277.9,277.9,277.9,277.9,402,11171580000.0,24,402,1.0
2017-09-06,SMSLIFE,EQ,277.9,291.75,291.75,291.75,291.75,291.75,291.75,2647,77226225000.0,50,2647,1.0
2017-09-07,SMSLIFE,EQ,291.75,306.3,306.3,306.3,306.3,306.3,306.3,682,20889660000.0,45,682,1.0
2017-09-08,SMSLIFE,EQ,306.3,321.6,321.6,321.6,321.6,321.6,321.6,360,11577600000.0,27,360,1.0
2017-09-11,SMSLIFE,EQ,321.6,337.65,337.65,337.65,337.65,337.65,337.65,1051,35487015000.0,29,1051,1.0
2017-09-12,SMSLIFE,EQ,337.65,354.5,354.5,354.5,354.5,354.5,354.5,459,16271550000.0,24,459,1.0
2017-09-13,SMSLIFE,EQ,354.5,372.2,372.2,372.2,372.2,372.2,372.2,2273,84601060000.0,35,2273,1.0
2017-09-14,SMSLIFE,EQ,372.2,390.8,390.8,390.8,390.8,390.8,390.8,4720,184457600000.0,67,4719,0.9998
2017-09-15,SMSLIFE,EQ,390.8,410.3,410.3,410.3,410.3,410.3,410.3,27215,1116631450000.0,316,24972,0.9176000000000001
2017-09-18,SMSLIFE,EQ,410.3,430.8,430.8,419.95,430.8,430.8,429.24,38697,1661031605000.0,610,28367,0.7331000000000001
2017-09-19,SMSLIFE,EQ,430.8,452.3,452.3,436.05,452.3,452.3,451.38,14819,668899250000.0,239,12608,0.8508
2017-09-20,SMSLIFE,EQ,452.3,474.9,474.9,460.0,474.9,474.9,472.9,10685,505295605000.0,181,8812,0.8247
2017-09-21,SMSLIFE,EQ,474.9,498.6,498.6,470.0,498.6,498.6,495.29,53673,2658394260000.0,831,27491,0.5122
2017-09-22,SMSLIFE,EQ,498.6,519.05,523.5,505.0,523.5,523.5,521.47,40743,2124618570000.0,782,26924,0.6607999999999999
2017-09-25,SMSLIFE,EQ,523.5,549.0,549.65,508.1,514.7,511.0,532.79,43744,2330656880000.0,1554,24723,0.5652
2017-09-26,SMSLIFE,EQ,511.0,500.1,513.0,485.45,490.0,490.05,489.8,27279,1336116725000.0,882,15788,0.5788000000000001
2017-09-27,SMSLIFE,EQ,490.05,472.0,500.0,466.05,466.05,470.25,476.34,21802,1038526619999.9999,541,12237,0.5613
2017-11-14,SMSLIFE,EQ,434.05,425.0,449.0,425.0,439.0,446.45,440.19,1551,68274119999.99999,52,1382,0.891
2017-11-15,SMSLIFE,EQ,446.45,465.0,465.0,424.15,425.0,429.4,429.9,1937,83270950000.0,52,1820,0.9396
2017-11-16,SMSLIFE,EQ,429.4,411.05,440.0,411.05,430.0,429.95,429.23,1987,85288045000.0,58,1848,0.93
2017-11-17,SMSLIFE,EQ,429.95,430.05,434.95,425.0,425.0,429.8,429.99,1212,52114725000.0,47,1176,0.9703
2017-11-20,SMSLIFE,EQ,429.8,421.0,435.0,421.0,429.0,429.0,429.55,2271,97550100000.0,66,2243,0.9877
2017-11-21,SMSLIFE,EQ,429.0,425.0,450.0,415.0,432.0,432.0,437.14,636,27802190000.000004,61,587,0.923
2017-11-22,SMSLIFE,EQ,432.0,449.6,449.6,415.4,425.75,427.35,428.9,390,16727245000.000002,32,344,0.8821
2017-11-23,SMSLIFE,EQ,427.35,425.5,435.0,422.35,428.1,428.1,430.23,262,11271950000.0,25,262,1.0
2017-11-24,SMSLIFE,EQ,428.1,425.5,440.0,425.0,438.95,437.75,433.48,931,40357140000.0,62,684,0.7347
2017-11-27,SMSLIFE,EQ,437.75,439.0,439.0,427.0,430.0,429.8,430.73,1172,50481840000.0,41,1169,0.9974
2017-11-28,SMSLIFE,EQ,429.8,427.5,430.95,422.0,430.9,430.0,425.97,501,21340975000.0,32,417,0.8323
2017-11-29,SMSLIFE,EQ,430.0,427.5,440.0,420.05,421.5,423.0,429.98,1013,43556590000.0,49,698,0.6890000000000001
2017-11-30,SMSLIFE,EQ,423.0,420.5,440.0,416.5,421.0,428.35,426.72,739,31534565000.000004,41,623,0.843
2017-12-01,SMSLIFE,EQ,428.35,421.05,435.0,421.05,426.0,426.0,430.18,415,17852590000.0,30,291,0.7012
2017-12-04,SMSLIFE,EQ,426.0,440.0,444.9,426.0,430.0,432.85,434.68,2384,103626955000.0,59,2339,0.9811
2017-12-05,SMSLIFE,EQ,432.85,435.0,435.0,427.0,432.95,432.7,431.88,1249,53941400000.0,34,1163,0.9311
2017-12-06,SMSLIFE,EQ,432.7,432.0,454.3,426.05,434.95,429.25,436.32,3181,138794005000.0,54,2775,0.8724
2017-12-07,SMSLIFE,EQ,429.25,426.1,435.0,426.1,428.0,428.7,430.09,1071,46062120000.0,47,1033,0.9645
2017-12-08,SMSLIFE,EQ,428.7,444.95,444.95,425.0,425.0,426.5,430.18,2035,87541670000.0,70,1543,0.7582
2017-12-11,SMSLIFE,EQ,426.5,425.5,440.0,405.6,437.0,429.6,431.38,1384,59702475000.0,50,837,0.6048
2017-12-12,SMSLIFE,EQ,429.6,420.0,435.0,408.5,428.95,428.45,419.38,8656,363015830000.0,146,7517,0.8684000000000001
2017-12-13,SMSLIFE,EQ,428.45,417.2,429.5,416.0,425.0,421.15,419.1,786,32941055000.0,54,726,0.9237000000000001
2017-12-14,SMSLIFE,EQ,421.15,415.4,419.9,379.2,406.9,405.85,397.94,30357,1208033590000.0,557,22067,0.7269
2017-12-15,SMSLIFE,EQ,405.85,405.85,426.7,390.0,400.1,399.45,398.79,4588,182963295000.0,171,3702,0.8069
2017-12-18,SMSLIFE,EQ,399.45,387.0,403.9,387.0,390.5,390.65,396.55,1865,73957270000.0,62,1220,0.6542
2017-12-19,SMSLIFE,EQ,390.65,395.0,410.0,395.0,400.0,400.0,401.74,1757,70585310000.0,64,1738,0.9892000000000001
2017-12-20,SMSLIFE,EQ,400.0,400.1,412.0,398.0,404.0,405.8,402.76,1608,64763465000.0,61,1554,0.9664
2017-12-21,SMSLIFE,EQ,405.8,390.2,434.0,390.2,434.0,423.75,415.92,1743,72494840000.0,109,1233,0.7073999999999999
2017-12-22,SMSLIFE,EQ,423.75,423.75,445.0,410.0,435.0,434.05,424.41,9907,420462290000.00006,265,5819,0.5874
2017-12-26,SMSLIFE,EQ,434.05,457.0,457.0,421.0,430.0,429.4,430.82,4966,213942870000.00003,129,2720,0.5477000000000001
2017-12-27,SMSLIFE,EQ,429.4,429.4,438.0,425.0,425.0,427.1,430.07,3490,150095925000.0,58,3096,0.8871
2017-12-28,SMSLIFE,EQ,427.1,430.0,434.8,395.55,434.8,427.05,427.66,3381,144590295000.0,73,2966,0.8773000000000001
