Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-04-15,METROPOLIS,EQ,880.0,958.0,982.7,935.0,955.2,959.85,956.1,7279787,696017679350000.0,200331,3166884,0.435
2019-04-16,METROPOLIS,EQ,959.85,995.0,1005.6,971.75,987.45,985.35,988.78,1207704,119414981320000.0,48133,329883,0.2731
2019-04-18,METROPOLIS,EQ,985.35,984.8,984.8,950.05,973.0,970.45,966.46,326059,31512347010000.004,20020,154919,0.47509999999999997
2019-04-22,METROPOLIS,EQ,970.45,963.0,963.0,938.7,949.0,945.5,945.12,165743,15664690855000.002,9618,104149,0.6284000000000001
2019-04-23,METROPOLIS,EQ,945.5,950.0,967.25,939.7,947.15,952.85,952.55,106739,10167433820000.0,10517,48045,0.4501
2019-04-24,METROPOLIS,EQ,952.85,954.0,977.4,945.0,967.0,958.75,956.24,120780,11549508695000.0,7525,85217,0.7056
2019-04-25,METROPOLIS,EQ,958.75,965.0,976.4,946.2,950.0,949.75,957.55,73361,7024691665000.001,6356,38485,0.5246000000000001
2019-04-26,METROPOLIS,EQ,949.75,947.2,954.8,935.0,940.1,948.8,946.83,40546,3839027554999.9995,3114,18307,0.4515
2019-04-30,METROPOLIS,EQ,948.8,941.0,959.4,927.1,950.0,947.85,936.96,64380,6032157695000.0,6803,36523,0.5673
2019-05-02,METROPOLIS,EQ,947.85,956.7,957.95,933.9,944.05,947.05,946.41,61526,5822897230000.0,4223,34348,0.5583
2019-05-03,METROPOLIS,EQ,947.05,945.05,952.4,936.0,950.0,950.15,946.05,31369,2967668145000.0,3072,11120,0.35450000000000004
2019-05-06,METROPOLIS,EQ,950.15,933.1,952.4,927.0,951.0,943.15,938.04,44901,4211896765000.0,3250,21427,0.4772
2019-05-07,METROPOLIS,EQ,943.15,942.2,948.0,928.0,930.0,930.7,941.96,64134,6041177660000.0,2138,48375,0.7543000000000001
2019-05-08,METROPOLIS,EQ,930.7,931.05,942.0,930.6,938.1,938.05,939.41,79395,7458445840000.001,3222,62203,0.7835
2019-05-09,METROPOLIS,EQ,938.05,938.0,941.0,925.05,935.8,939.3,933.03,39210,3658428454999.9995,4948,14672,0.37420000000000003
2019-05-10,METROPOLIS,EQ,939.3,940.1,948.0,932.1,943.05,946.0,940.68,39493,3715041265000.0,4989,16861,0.4269
2019-05-13,METROPOLIS,EQ,946.0,947.85,947.85,907.0,933.0,921.2,924.85,173163,16014936835000.0,6497,141587,0.8177
