Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-03-25,ARVINDFASN,EQ,962.3,1024.0,1058.5,971.3,1058.5,1058.5,1029.21,3424593,352461883845000.0,38623,1433945,0.41869999999999996
2019-03-26,ARVINDFASN,EQ,1058.5,1067.0,1089.7,1001.35,1012.5,1017.4,1038.55,795748,82642616765000.0,35506,335612,0.4218
2019-03-27,ARVINDFASN,EQ,1017.4,1013.0,1035.1,995.0,1001.0,1004.15,1007.12,284798,28682601410000.004,12803,173397,0.6088
2019-03-28,ARVINDFASN,EQ,1004.15,1004.9,1026.0,995.65,1022.0,1021.75,1012.83,167666,16981659375000.0,6500,92458,0.5514
2019-03-29,ARVINDFASN,EQ,1021.75,1025.2,1054.0,1016.0,1031.05,1043.2,1036.34,227065,23531625760000.0,13163,157116,0.6919
2019-04-01,ARVINDFASN,EQ,1043.2,1045.0,1055.0,1028.0,1040.0,1040.75,1041.27,165398,17222449685000.0,4467,89582,0.5416
2019-04-02,ARVINDFASN,EQ,1040.75,1041.0,1051.45,1031.8,1048.0,1047.95,1041.72,109310,11387065515000.0,3441,67866,0.6209
2019-04-03,ARVINDFASN,EQ,1047.95,1045.0,1045.9,998.0,1011.0,1002.05,1015.01,330147,33510178485000.004,9864,264719,0.8018000000000001
2019-04-04,ARVINDFASN,EQ,1002.05,1010.0,1010.0,972.45,985.2,987.9,990.32,94286,9337305700000.0,4211,53266,0.5649000000000001
2019-04-05,ARVINDFASN,EQ,987.9,996.0,996.0,952.1,975.0,976.2,972.05,141506,13755063785000.0,7409,95704,0.6763
2019-04-08,ARVINDFASN,EQ,976.2,970.0,987.0,960.0,966.55,968.75,972.1,54084,5257518950000.0,5178,36884,0.682
2019-04-09,ARVINDFASN,EQ,968.75,964.5,974.0,960.0,965.0,968.55,965.73,52927,5111308420000.0,2213,30874,0.5833
2019-04-10,ARVINDFASN,EQ,968.55,962.1,977.0,962.0,971.0,969.9,967.7,57945,5607352355000.0,5249,42532,0.7340000000000001
2019-04-11,ARVINDFASN,EQ,969.9,972.9,991.75,967.15,973.0,975.0,979.52,63979,6266886775000.0,2975,38427,0.6006
2019-04-12,ARVINDFASN,EQ,975.0,972.15,983.2,966.45,967.3,969.95,970.83,99047,9615776315000.0,1835,82204,0.8299
2019-04-15,ARVINDFASN,EQ,969.95,970.0,975.0,948.0,968.95,955.1,959.07,28220,2706501900000.0,1531,18611,0.6595000000000001
2019-04-16,ARVINDFASN,EQ,955.1,960.0,965.1,939.65,956.0,958.15,952.07,59604,5674707685000.0,4408,37284,0.6255
2019-04-18,ARVINDFASN,EQ,958.15,959.0,965.0,952.0,960.0,960.95,960.48,46983,4512626675000.0,2438,35162,0.7484000000000001
2019-04-22,ARVINDFASN,EQ,960.95,960.0,972.75,958.4,962.95,960.35,961.31,40770,3919246270000.0005,2393,28571,0.7008
2019-04-23,ARVINDFASN,EQ,960.35,960.35,987.0,951.0,960.05,962.25,961.34,100401,9651969990000.0,7296,64993,0.6473000000000001
2019-04-24,ARVINDFASN,EQ,962.25,957.0,970.0,956.1,960.0,959.95,960.65,39474,3792088870000.0005,4525,30441,0.7712000000000001
2019-04-25,ARVINDFASN,EQ,959.95,964.0,968.0,958.0,965.95,965.1,961.37,34780,3343661945000.0,3287,25939,0.7458
2019-04-26,ARVINDFASN,EQ,965.1,965.0,983.95,962.5,972.0,971.4,969.14,37680,3651723465000.0,3043,22465,0.5962
2019-04-30,ARVINDFASN,EQ,971.4,972.0,1018.9,965.0,1000.0,1000.3,999.47,195251,19514677525000.0,10052,129540,0.6635
2019-05-02,ARVINDFASN,EQ,1000.3,983.0,1009.8,983.0,995.4,995.6,995.01,46232,4600128355000.0,4252,34452,0.7452
2019-05-03,ARVINDFASN,EQ,995.6,990.0,1005.1,990.0,1003.25,1000.05,999.97,292324,29231406314999.996,15743,280589,0.9599
2019-05-06,ARVINDFASN,EQ,1000.05,1000.0,1000.0,983.2,992.7,991.6,992.01,47421,4704219075000.0,2518,40239,0.8484999999999999
2019-05-07,ARVINDFASN,EQ,991.6,999.8,999.8,991.05,997.3,995.1,995.02,81738,8133071270000.0,2330,74875,0.9159999999999999
2019-05-08,ARVINDFASN,EQ,995.1,982.8,994.95,970.1,982.1,980.25,984.35,43782,4309685820000.0005,3378,32873,0.7508
2019-05-09,ARVINDFASN,EQ,980.25,980.25,987.85,969.2,980.05,980.85,979.77,26057,2552989065000.0,1582,22008,0.8445999999999999
2019-05-10,ARVINDFASN,EQ,980.85,980.8,984.9,962.45,970.0,966.75,966.41,121328,11725281845000.0,3383,115495,0.9519
2019-05-13,ARVINDFASN,EQ,966.75,970.0,973.85,955.3,964.0,963.15,963.5,132469,12763324800000.0,5234,126026,0.9514
2019-05-14,ARVINDFASN,EQ,963.15,967.15,969.15,945.0,949.0,951.5,952.87,152291,14511419635000.0,6805,143404,0.9416
2019-05-15,ARVINDFASN,EQ,951.5,949.95,950.9,920.0,929.0,930.0,935.79,16459,1540210260000.0,1395,12603,0.7656999999999999
2019-05-16,ARVINDFASN,EQ,930.0,922.0,945.0,837.0,838.0,839.45,865.0,100047,8654069205000.0,5396,59283,0.5926
2019-05-17,ARVINDFASN,EQ,839.45,837.0,840.0,755.55,770.0,766.1,760.42,844837,64243323370000.01,13118,502550,0.5948
2019-05-20,ARVINDFASN,EQ,766.1,791.0,804.4,770.0,804.4,804.4,800.15,121952,9757942635000.0,2492,67150,0.5506000000000001
2019-05-21,ARVINDFASN,EQ,804.4,814.0,844.6,811.0,844.6,844.6,840.6,90077,7571840865000.001,1405,44853,0.4979
2019-05-22,ARVINDFASN,EQ,844.6,855.0,862.0,805.0,817.2,822.7,824.01,114220,9411880895000.0,12225,71967,0.6301
2019-05-23,ARVINDFASN,EQ,822.7,822.7,853.45,811.25,819.0,820.35,823.71,58694,4834687410000.0,5949,43266,0.7371
2019-05-24,ARVINDFASN,EQ,820.35,820.0,844.0,812.0,833.1,837.4,824.29,29276,2413192580000.0,2785,18141,0.6197
2019-05-27,ARVINDFASN,EQ,837.4,800.0,860.0,800.0,831.3,826.3,824.09,37427,3084321660000.0,3321,17526,0.4683
2019-05-28,ARVINDFASN,EQ,826.3,839.55,850.0,810.0,843.9,846.55,839.76,38616,3242812280000.0,3011,23522,0.6091
2019-05-29,ARVINDFASN,EQ,846.55,850.0,850.0,804.25,804.25,805.2,818.34,42586,3484963190000.0,3484,35824,0.8412000000000001
2019-05-30,ARVINDFASN,EQ,805.2,805.0,819.0,805.0,807.95,809.8,810.06,96606,7825669825000.0,1287,91731,0.9495
2019-05-31,ARVINDFASN,EQ,809.8,821.0,826.95,798.0,803.0,800.9,809.14,59119,4783573710000.0,5165,45281,0.7659
2019-06-03,ARVINDFASN,EQ,800.9,801.0,818.0,765.0,807.05,805.5,795.8,23913,1903005795000.0,1848,13742,0.5747
2019-06-04,ARVINDFASN,EQ,805.5,805.5,810.85,772.5,778.0,777.1,791.45,41921,3317846165000.0,3143,36053,0.86
2019-06-06,ARVINDFASN,EQ,777.1,790.0,790.0,757.6,767.8,764.45,768.21,69639,5349710085000.0,3479,61777,0.8871
2019-06-07,ARVINDFASN,EQ,764.45,758.0,802.65,751.0,793.0,797.2,787.95,54382,4285028400000.0,3351,30771,0.5658
2019-06-10,ARVINDFASN,EQ,797.2,801.0,801.0,751.0,760.05,761.25,762.86,27950,2132205989999.9998,2744,19427,0.6951
2019-06-11,ARVINDFASN,EQ,761.25,761.0,773.0,758.75,767.0,767.1,767.49,12309,944700650000.0,1035,8354,0.6787000000000001
2019-06-12,ARVINDFASN,EQ,767.1,767.1,788.0,765.05,779.0,780.45,779.87,27907,2176386255000.0,7016,22567,0.8087000000000001
2019-06-13,ARVINDFASN,EQ,780.45,775.0,777.5,756.15,765.7,765.1,764.4,26856,2052870110000.0002,2748,21751,0.8099
2019-06-14,ARVINDFASN,EQ,765.1,760.0,771.2,753.0,756.35,758.25,769.31,54484,4191493104999.9995,2370,51114,0.9381
2019-06-17,ARVINDFASN,EQ,758.25,758.25,767.0,745.0,752.0,752.1,751.51,11996,901514615000.0,717,8925,0.7349
2019-06-18,ARVINDFASN,EQ,752.1,750.0,759.9,750.0,755.0,754.75,754.62,18513,1397026100000.0,562,16328,0.8521
2019-06-19,ARVINDFASN,EQ,754.75,755.1,762.0,700.0,700.15,703.2,736.66,81993,6040081520000.0,4050,58582,0.7145
2019-06-20,ARVINDFASN,EQ,703.2,700.0,713.15,649.95,699.9,693.75,685.05,78276,5362262600000.0,4344,53722,0.6863
2019-06-21,ARVINDFASN,EQ,693.75,695.1,709.0,670.0,700.0,696.75,692.68,41331,2862908950000.0,2321,29067,0.7033
2019-06-24,ARVINDFASN,EQ,696.75,700.0,703.0,680.05,701.0,700.25,697.14,50049,3489124725000.0,1132,47517,0.9494
2019-06-25,ARVINDFASN,EQ,700.25,693.2,695.0,680.0,688.0,690.25,690.8,63569,4391363760000.0,1233,59431,0.9349
2019-06-26,ARVINDFASN,EQ,690.25,685.5,695.85,685.5,690.0,690.4,690.1,26888,1855533889999.9998,908,25225,0.9381999999999999
2019-06-27,ARVINDFASN,EQ,690.4,695.0,745.0,692.25,700.0,698.9,702.67,56381,3961701579999.9995,2609,40704,0.7219
2019-06-28,ARVINDFASN,EQ,698.9,698.0,738.0,665.0,691.0,680.5,695.02,61390,4266697470000.0005,4227,28727,0.4679
2019-07-01,ARVINDFASN,EQ,680.5,681.0,725.0,680.0,692.0,690.0,690.46,14679,1013519950000.0,1395,10269,0.6996
2019-07-02,ARVINDFASN,EQ,690.0,683.2,698.85,681.05,681.05,684.5,688.91,20441,1408210815000.0,1981,16806,0.8222
