Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-02-08,SPENCERS,EQ,134.9,121.45,148.35,121.45,148.35,147.75,128.54,12812246,164686252270000.0,41764,4424360,0.3453
2019-02-11,SPENCERS,EQ,147.75,152.0,154.4,136.3,148.0,149.05,146.61,1764756,25873700130000.0,16909,834855,0.4731
2019-02-12,SPENCERS,EQ,149.05,144.05,147.5,134.15,134.15,134.3,138.45,878739,12166374920000.0,12199,516140,0.5874
2019-02-13,SPENCERS,EQ,134.3,131.3,135.85,125.1,129.7,129.35,130.12,618178,8043850550000.0,7214,258784,0.4186
2019-02-14,SPENCERS,EQ,129.35,129.7,139.75,127.0,132.0,133.0,133.51,480756,6418690440000.0,5299,274063,0.5700999999999999
2019-02-15,SPENCERS,EQ,133.0,130.1,134.3,121.5,126.0,127.55,126.41,404825,5117548115000.0,6989,236080,0.5832
2019-02-18,SPENCERS,EQ,127.55,127.55,130.0,123.1,127.5,128.2,127.21,447503,5692543855000.0,6142,287956,0.6435
2019-02-19,SPENCERS,EQ,128.2,126.75,141.0,125.55,137.7,137.45,138.47,1479368,20485272730000.0,4744,1103490,0.7459
2019-02-20,SPENCERS,EQ,137.45,141.0,144.0,138.0,141.0,140.2,140.52,857610,12050819910000.0,2333,720415,0.84
2019-02-21,SPENCERS,EQ,140.2,142.05,143.0,138.0,138.05,138.95,140.61,407282,5726952660000.0,7772,326798,0.8024
2019-02-22,SPENCERS,EQ,138.95,138.1,148.9,137.5,144.0,144.9,144.96,430634,6242347385000.0,4270,245350,0.5697
2019-02-25,SPENCERS,EQ,144.9,144.1,152.8,144.1,148.0,148.05,149.74,380183,5692972830000.0,3220,225309,0.5926
2019-02-26,SPENCERS,EQ,148.05,146.5,147.1,139.0,143.0,142.65,143.46,295291,4236344860000.0,2727,196795,0.6664
2019-02-27,SPENCERS,EQ,142.65,143.5,147.4,138.7,140.15,140.05,140.65,429697,6043627750000.0,2669,374696,0.872
2019-02-28,SPENCERS,EQ,140.05,142.8,146.4,139.95,141.95,142.5,142.53,228544,3257341650000.0,1329,194402,0.8506
2019-03-01,SPENCERS,EQ,142.5,142.9,150.0,142.1,149.0,148.65,144.77,2094325,30320317180000.0,4312,1962520,0.9370999999999999
2019-03-05,SPENCERS,EQ,148.65,149.0,153.8,146.25,148.0,148.15,149.94,1524607,22859458775000.0,14546,1307418,0.8575
2019-03-06,SPENCERS,EQ,148.15,148.05,162.95,148.0,162.9,162.85,159.73,1138679,18188603425000.0,5553,692235,0.6079
2019-03-07,SPENCERS,EQ,162.85,163.0,163.0,155.05,157.45,156.0,158.62,321301,5096350675000.0,4152,222822,0.6935
2019-03-08,SPENCERS,EQ,156.0,157.1,158.0,152.0,154.0,153.9,154.08,153631,2367087460000.0,1930,119214,0.7759999999999999
2019-03-11,SPENCERS,EQ,153.9,157.0,158.45,153.05,154.0,154.4,155.81,207742,3236854265000.0,3293,162889,0.7841
2019-03-12,SPENCERS,EQ,154.4,155.9,159.4,155.0,156.0,156.05,156.67,184832,2895678285000.0,5815,122440,0.6624
2019-03-13,SPENCERS,EQ,156.05,157.7,157.7,152.1,155.5,154.85,154.91,322101,4989788485000.0,3948,212432,0.6595000000000001
2019-03-14,SPENCERS,EQ,154.85,157.0,170.3,154.05,168.65,169.45,165.57,2593072,42933509700000.0,24569,1578239,0.6086
2019-03-15,SPENCERS,EQ,169.45,171.0,173.7,160.6,163.35,163.2,168.54,1610890,27149633300000.0,9871,1205659,0.7484000000000001
2019-03-18,SPENCERS,EQ,163.2,164.85,167.8,159.5,160.9,160.1,162.98,273503,4457501985000.0,4650,198875,0.7271
2019-03-19,SPENCERS,EQ,160.1,161.8,168.3,160.25,163.4,162.75,163.77,650327,10650105750000.0,5501,466134,0.7168000000000001
2019-03-20,SPENCERS,EQ,162.75,164.85,164.85,159.5,161.5,161.35,161.79,190735,3085915040000.0,2435,113244,0.5937
2019-03-22,SPENCERS,EQ,161.35,162.4,162.7,156.6,157.5,157.6,160.14,345400,5531371290000.0,2393,281079,0.8138
2019-03-25,SPENCERS,EQ,157.6,155.0,159.5,154.5,155.0,155.55,156.07,126540,1974870945000.0,1590,78087,0.6171
2019-03-26,SPENCERS,EQ,155.55,157.0,165.7,155.1,161.0,161.5,162.23,360728,5852124955000.0,3176,214292,0.5941
2019-03-27,SPENCERS,EQ,161.5,160.5,165.45,156.8,159.25,160.1,161.17,253214,4081057095000.0005,3754,149246,0.5894
2019-03-28,SPENCERS,EQ,160.1,160.1,164.9,157.1,160.45,159.3,160.7,174256,2800357310000.0,2021,78810,0.4523
2019-03-29,SPENCERS,EQ,159.3,161.0,163.3,159.1,161.0,160.0,161.04,128567,2070418939999.9998,1120,98900,0.7692
2019-04-01,SPENCERS,EQ,160.0,161.25,168.75,161.25,162.55,163.05,165.88,400110,6636938350000.0,3867,236286,0.5906
