Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-05-10,UJJIVAN,EQ,210.0,231.9,244.65,216.65,233.2,231.55,234.55,48259329,1131938877135000.0,405203,14004848,0.2902
2016-05-11,UJJIVAN,EQ,231.55,230.0,239.8,227.1,235.0,234.75,235.68,5224937,123143585055000.0,53409,1496136,0.2863
2016-05-12,UJJIVAN,EQ,234.75,235.45,244.5,234.65,244.1,243.45,240.43,5095264,122503144630000.0,79756,1882155,0.3694
2016-05-13,UJJIVAN,EQ,243.45,245.3,253.7,243.0,252.0,251.7,249.7,7194162,179641673700000.0,70903,3040553,0.4226
2016-05-16,UJJIVAN,EQ,251.7,252.0,258.9,252.0,258.9,257.95,256.39,4104108,105224582695000.0,38096,1785878,0.4351
2016-05-17,UJJIVAN,EQ,257.95,259.0,261.05,256.6,260.7,260.15,259.32,2393983,62080375235000.0,26381,987344,0.41240000000000004
2016-05-18,UJJIVAN,EQ,260.15,259.4,259.45,255.0,258.05,257.5,256.89,1079731,27736751310000.004,11685,530670,0.4915
2016-05-19,UJJIVAN,EQ,257.5,256.3,267.3,256.3,266.6,266.35,263.29,3172233,83521546625000.0,26448,1521092,0.47950000000000004
2016-05-20,UJJIVAN,EQ,266.35,267.9,268.75,260.2,261.95,262.0,263.73,1226074,32335148864999.996,13251,499198,0.4072
2016-05-23,UJJIVAN,EQ,262.0,262.5,263.5,256.55,257.2,257.15,259.47,681504,17683172020000.0,6281,347455,0.5098
2016-05-24,UJJIVAN,EQ,257.15,257.5,257.85,253.1,256.0,255.2,254.7,526804,13417613845000.0,7136,253559,0.48130000000000006
2016-05-25,UJJIVAN,EQ,255.2,257.0,272.9,255.25,272.9,265.85,264.93,3008306,79697901500000.0,29279,922753,0.30670000000000003
2016-05-26,UJJIVAN,EQ,265.85,276.0,308.35,275.55,296.9,298.4,296.32,9673356,286639385300000.0,110778,2410021,0.24910000000000002
2016-05-27,UJJIVAN,EQ,298.4,298.4,299.35,287.65,293.9,292.95,292.54,2283477,66801449215000.0,35173,878358,0.3847
2016-05-30,UJJIVAN,EQ,292.95,294.7,316.8,292.5,313.5,314.7,308.84,4621299,142724028400000.0,67583,963620,0.20850000000000002
2016-05-31,UJJIVAN,EQ,314.7,314.45,322.25,306.6,315.45,317.0,316.72,2944559,93260160395000.0,44001,650536,0.2209
2016-06-01,UJJIVAN,EQ,317.0,317.45,324.8,312.2,313.0,313.9,319.62,2414074,77157984850000.0,29674,720952,0.2986
2016-06-02,UJJIVAN,EQ,313.9,314.1,338.35,312.4,338.0,333.7,326.46,3861555,126065242270000.0,41936,1042738,0.27
2016-06-03,UJJIVAN,EQ,333.7,339.95,400.4,338.35,381.55,382.55,379.4,15700004,595650503935000.0,165154,2615026,0.1666
2016-06-06,UJJIVAN,EQ,382.55,386.7,386.7,328.3,344.5,342.85,345.98,13281767,459517109675000.0,150697,2691506,0.20260000000000003
2016-06-07,UJJIVAN,EQ,342.85,346.0,371.5,344.5,355.0,354.85,358.53,7721640,276847110105000.03,114249,2094841,0.2713
2016-06-08,UJJIVAN,EQ,354.85,359.35,364.9,354.3,363.45,362.0,360.41,3508292,126440728434999.98,61129,966153,0.2754
2016-06-09,UJJIVAN,EQ,362.0,363.85,369.45,358.4,365.2,365.7,364.89,2997159,109363422690000.02,47897,915352,0.3054
2016-06-10,UJJIVAN,EQ,365.7,364.9,379.7,363.0,366.55,367.55,372.57,3673263,136854322045000.0,45825,676433,0.18420000000000003
2016-06-13,UJJIVAN,EQ,367.55,364.5,369.35,358.15,360.8,361.2,363.12,1983763,72034489070000.0,42506,610512,0.3078
2016-06-14,UJJIVAN,EQ,361.2,363.05,388.9,360.4,378.1,378.65,376.38,6204382,233522817065000.0,84413,1355274,0.2184
2016-06-15,UJJIVAN,EQ,378.65,380.25,397.5,380.25,392.5,392.15,391.65,5229803,204823729435000.0,77007,1062967,0.20329999999999998
2016-06-16,UJJIVAN,EQ,392.15,378.0,391.2,372.55,375.2,377.5,382.36,3986771,152439194710000.0,52976,647643,0.1624
2016-06-17,UJJIVAN,EQ,377.5,381.0,386.85,372.15,375.45,375.7,379.28,1266619,48040041410000.0,18380,249407,0.19690000000000002
2016-06-20,UJJIVAN,EQ,375.7,369.85,382.9,367.95,378.5,376.95,376.94,1486035,56015070190000.0,21994,244343,0.16440000000000002
2016-06-21,UJJIVAN,EQ,376.95,379.8,381.5,368.3,371.0,370.6,375.15,1120159,42023168925000.0,17812,294421,0.26280000000000003
2016-06-22,UJJIVAN,EQ,370.6,372.95,380.0,367.15,368.55,369.3,372.63,1407552,52449143250000.0,18912,230454,0.1637
2016-06-23,UJJIVAN,EQ,369.3,370.0,377.0,364.4,372.5,373.0,371.63,1092596,40603640495000.0,14975,230079,0.21059999999999998
2016-06-24,UJJIVAN,EQ,373.0,355.0,377.25,341.35,375.15,373.45,358.4,3234925,115941107190000.02,38627,982790,0.3038
2016-06-27,UJJIVAN,EQ,373.45,375.95,387.8,375.0,379.0,378.8,381.59,1623585,61954682104999.99,22300,454716,0.2801
2016-06-28,UJJIVAN,EQ,378.8,380.75,383.9,376.15,377.0,376.95,379.13,747418,28336800089999.996,10265,211883,0.28350000000000003
2016-06-29,UJJIVAN,EQ,376.95,379.45,407.35,379.0,401.5,400.3,397.75,6296990,250464411490000.0,77684,1156245,0.18359999999999999
2016-06-30,UJJIVAN,EQ,400.3,404.4,414.6,396.5,401.0,398.75,406.44,3262752,132612205525000.0,38691,700970,0.21480000000000002
2016-07-01,UJJIVAN,EQ,398.75,402.65,407.6,396.4,401.0,399.05,402.01,1188623,47783813915000.0,14749,292807,0.2463
2016-07-04,UJJIVAN,EQ,399.05,402.6,421.45,401.6,419.75,418.35,414.65,2848252,118102210020000.0,31729,728346,0.2557
2016-07-05,UJJIVAN,EQ,418.35,421.4,429.5,419.3,428.4,426.85,424.55,2270347,96388313015000.0,30207,372391,0.16399999999999998
